랭킹,제목,가수,앨범
1,괜찮아 사랑이야,다비치,괜찮아 사랑이야 (SBS 수목드라마) OST - Part.2
2,Ain't Nobody,핫펠트 (HA:TFELT),Me?
3,운명 같은 너,정동하,운명처럼 널 사랑해 (MBC 수목드라마) OST - Part.4
4,"[권리없는 곡]
It Was Always You",Maroon 5(마룬 파이브),It Was Always You
5,Touch My Body,씨스타(Sistar),TOUCH N MOVE
6,빨개요,현아,A Talk
7,최고의 행운,첸 (CHEN),괜찮아 사랑이야 (SBS 수목드라마) OST - Part.1
8,HER,블락비(Block B),HER
9,Iron Girl (feat. 혜림 Of Wonder Girls),핫펠트 (HA:TFELT),Me?
10,Bat Girl,윤종신,2014 월간 윤종신 7월호
11,다시 너를,손승연,Sonnet Blooms
12,Back Seat,JYJ,Just Us
13,Darling,걸스데이(Girl's Day),Girl's Day Everyday #4
14,Back,인피니트(Infinite),Be Back
15,세상의 반은 남자야,써니데이즈(Sunny Days),세상의 반은 남자야
16,비 오는 거리,소울스타(SOULSTAR),비 오는 거리
17,Peter Pan,핫펠트 (HA:TFELT),Me?
18,Bond (feat. Beenzino),핫펠트 (HA:TFELT),Me?
19,Wherever Together,핫펠트 (HA:TFELT),Me?
20,나쁜손 (feat. 버벌진트) (Naughty Hands),씨스타(Sistar),TOUCH N MOVE
21,해요 말고 해,하이포(HIGH4),해요 말고 해
22,"명수네 떡볶이 (feat. 김예림, UL)",박명수,명수네 떡볶이
23,다운 (Nothing Lasts Forever),핫펠트 (HA:TFELT),Me?
24,JACKPOT,블락비(Block B),HER
25,한여름밤의 꿀,San E(산이),Project Single '한여름밤의 꿀'
26,Truth,핫펠트 (HA:TFELT),Me?
27,It Girl,창민 & 이현(Homme),Pour Les Femmes
28,So So,JYJ,Just Us
29,날아올라,팬텀,날아올라
30,새벽 두시 반,JYJ,Just Us
31,"[19금]
Blacklist (feat. LE)",현아,A Talk
32,Fantastic,헨리 (HENRY),The 2nd Mini Album 'Fantastic'
33,사랑은 다 아픈 거니까 (feat. 민경 Of 더 씨야),태사비애,사랑은 다 아픈 거니까
34,"눈, 코, 입",태양,RISE
35,Love Lane,마마무(Mamamoo),연애말고 결혼 (tvN 금토드라마) OST - Part.2
36,오늘도 어제 같은 나는...,윤도현,강승원 1집 만들기 프로젝트 Part.2 : 오늘도 어제 같은 나는...
37,Letting Go,JYJ,Just Us
38,Let Me See,JYJ,Just Us
